project_scale_index	budget_adequacy_ratio	schedule_pressure_index	team_capacity_index	team_experience_score	domain_familiarity_score	requirements_volatility	requirements_clarity_score	scope_complexity_index	stakeholder_alignment_score	change_request_intensity	process_maturity_score	sprint_discipline_score	decision_latency_index	risk_management_maturity	client_engagement_score	technical_complexity_index	integration_risk_index	automation_maturity_score	toolchain_reliability_score	legacy_dependency_index	regulatory_risk_index	domain_criticality_index	external_dependency_risk	time_to_market_pressure	resource_stability_index	risk_tolerance_index	overall_uncertainty_index	label
0.696255807	0.943451881	0.09911415	0.291354151	0.889105105	0.90162999	0.50260228	0.280782533	0.330977121	0.298138689	0.112570869	0.958056197	0.690717629	0.11133096	0.89628859	0.300369859		0.718804529	0.703805021	0.281699842	0.468836423	0.874970482		0.528078153	0.505971823	0.89612204	0.108787405	0.884925721	Spiral
0.482497463		0.078106698	0.297450703	0.894822088	0.478568598	0.93489439	0.101463313	0.484446337	0.924579922	0.287892999	0.936873682	0.90543816	0.881846036	0.701598697	0.684841702	0.876200724	0.903263758	0.741460545	0.294495979	0.274507748	0.713055005	0.316310189	0.102748153	0.871004261	0.455304675	0.688237365	0.089812428	DevOps
0.306438841	0.288519997	0.283794099	0.683840592	0.296755634	0.862509677		0.905643688	0.273353905	0.499504497	0.308662518	0.900424712	0.86965629	0.915546651	0.894369222	0.492871717	0.301511827	0.704819964	0.910016749	0.073702202	0.500109547	0.510724886	0.126874031	0.085051516	0.288991109	0.134950023	0.687139511	0.083930675	Waterfall
0.116189988	0.889797796	0.131841766	0.506755082	0.099114701	0.30789961	0.094934791	0.910399234	0.890469834	0.503075323	0.519291121	0.921391804		0.102622621	0.912299918	0.291739917	0.314253782	0.117063755	0.919015261	0.921993237	0.126051692	0.084028676	0.314101425	0.085616487	0.506134373	0.492166466	0.102468068	0.714035531	Waterfall
0.335476354	0.097377578	0.9190992	0.681409305	0.452889125	0.089420909	0.103000907	0.893061544	0.305372727	0.932216498	0.110951056	0.933430446	0.709945863	0.29559542	0.30322825	0.240570879	0.082825203	0.086039444	0.297866527	0.507986063	0.89029577	0.118632087	0.874390784	0.450441969		0.936524796	0.500464906	0.280047785	Waterfall
0.896785209	0.517470122	0.489168218	0.105758975		0.112659957	0.685286252		0.694175165	0.929787356	0.121251199	0.290207681	0.299532547	0.319560737	0.29710938	0.692832103	0.920436701	0.295510822	0.530792377	0.076582075	0.686926651	0.101730386	0.703698994	0.902659907	0.71123025	0.499963398	0.489167485	0.701749589	Agile
0.309708075	0.084707432	0.109167412	0.324769878	0.513187964	0.122431095	0.091935879	0.529211245	0.113026974	0.725245468	0.083365731	0.525722609	0.691671356	0.497377069	0.895236449		0.911933111	0.295678228	0.082954173	0.875660419	0.087163263	0.079113082	0.87307918	0.503892185	0.131081744	0.310657892	0.893741586	0.096456439	Waterfall
0.493361879	0.899666813		0.884736374	0.903005707	0.318775302	0.879896467	0.481357232	0.693243399	0.693100734	0.478499055	0.068012513	0.095754701	0.930227646	0.715566578	0.311209109	0.910147196	0.506749207	0.290420438	0.517718696	0.09649573	0.090454569	0.720302122	0.715854249	0.879873754	0.09828681	0.487075333	0.944084724	Spiral
0.710182144	0.303488451	0.865037091	0.68488881	0.690109862	0.309968602	0.463538583	0.471994376	0.704141351	0.513304135	0.929126577	0.910146625	0.076471335	0.337118707	0.878672506	0.693439494	0.286513108	0.681699275	0.68657932			0.296259598	0.721407257	0.511951828	0.523943225	0.865258956	0.491039962	0.08808949	Hybrid
0.278633093	0.896400204	0.289102438	0.512992477	0.896308327	0.87460338	0.889536252	0.092565963	0.87315524	0.519033652	0.278328753	0.309359413	0.093637228	0.091268262	0.749327236	0.295119926	0.900876901	0.509237838	0.491443741	0.714660785	0.330610582	0.47035972	0.116922361	0.720025195	0.926248301	0.115251025	0.710299634	0.915724558	Spiral
0.895560603	0.113033446	0.307062182	0.904171454	0.332374899	0.709348689	0.101151042	0.514639524	0.69708071	0.526310907	0.122727206	0.90951068	0.289863656	0.531246085	0.698056492	0.692126664	0.915944776	0.498014191	0.111538299	0.516602979	0.510643101	0.285755126	0.317455881	0.705784948	0.716235873	0.463977275	0.059183438	0.68182765	Waterfall
0.911384085	0.887683856	0.695709548	0.53574034	0.524820239	0.701760907	0.080886986	0.897652996	0.325671583		0.119779468	0.088765528	0.28674278	0.701047527	0.300395238	0.899751237	0.319714065	0.509250526	0.492669458	0.489336032	0.678688385	0.100742156	0.27707033	0.110881427	0.675703165	0.301097454	0.302042148	0.524442053	Waterfall
0.922673829	0.091088015	0.103113997	0.710116107	0.480719491	0.108226517	0.919259015	0.533929172	0.90482142	0.123665627	0.510101059	0.279361262	0.27795553	0.31695507	0.107673271	0.642581606	0.912870692	0.547015809	0.497817485	0.710908839	0.113134487	0.902313913	0.931306011	0.328037528	0.905442828	0.301373682	0.289266793	0.130307493	Hybrid
0.268964161	0.504543229	0.727140928	0.642679154	0.90466779	0.685400905	0.071253038	0.735648457		0.696279745	0.282176409	0.330658462	0.682748006	0.876760505	0.280878317	0.900231176	0.696715387	0.319814335	0.700219306	0.663868106	0.102072239	0.909653391	0.917353046	0.91304347	0.100409474	0.320939322	0.917019525	0.268713458	V-Model
0.268311678	0.898735827	0.077555061	0.890941521	0.278012509	0.502926465	0.910260217	0.503358865	0.710323961	0.094163215	0.485620849	0.913189277	0.077596	0.689615728	0.287645313	0.501999478	0.659984482	0.926165514	0.694609768	0.718698412	0.912012435	0.093261973	0.343103392	0.695338585	0.320802375	0.309631102	0.256519921	0.900671978	Agile
0.299850581	0.734018928	0.11633369	0.895796185	0.50913781	0.892618227	0.913807276	0.894984767		0.731036578	0.477788672	0.897970988	0.497201225	0.317403015	0.091025582	0.52264393	0.099998435	0.483856878	0.297540677	0.883251877		0.912237012	0.923276967	0.723640412	0.703478618	0.514765432	0.684207689	0.685203043	V-Model
0.495799919	0.492717844	0.510928911	0.520022134	0.499691305	0.666046263	0.09315737	0.875278507	0.487609105	0.08205949	0.685469127	0.908448987	0.960902962	0.90315329	0.101605178	0.499256361	0.099872793	0.492191207	0.881425471	0.090183865	0.073653789	0.503329027	0.890450865	0.069190357	0.154569171	0.497099826	0.686532881	0.287342372	Waterfall
0.712690361	0.887021289	0.066312491	0.678569116	0.711235508	0.474059341		0.679477111	0.142297223	0.086479234	0.464770279	0.894888844	0.500399956	0.272313376	0.319043385	0.895884244	0.87812837	0.312643787	0.48160779	0.690561217	0.504790125	0.2940222	0.086137292	0.11090234	0.700766523	0.082484279	0.899485726	0.125689543	Agile
0.530918406	0.311736593	0.694440253		0.468677989	0.511524041	0.28221592	0.321949695	0.516002037	0.121445845	0.89874366	0.087765377	0.879525962	0.499633081	0.111055033	0.921834089	0.872271872	0.498795731	0.325097359	0.057606346	0.283185622	0.092558817	0.499629256	0.680473446	0.921096874	0.335917194	0.884438566	0.667845464	Hybrid
0.885558601	0.493869348	0.876476712	0.505944769	0.112573781	0.685435558	0.305482522	0.49650822	0.306309836		0.504829427	0.905257064	0.315343467	0.273682026	0.294493325	0.298640129	0.132894719	0.720127172	0.712968775	0.718664706	0.112550929	0.924358863	0.292340943	0.268018576	0.116579591	0.703256259	0.526330838	0.28597618	V-Model
0.122393899	0.901386817	0.108268416	0.290601408	0.475418566	0.888265317	0.501747054	0.8688418	0.498739927	0.289929351	0.486198021	0.276265375	0.908321359	0.692972834	0.16071463	0.718285416	0.329869268	0.690653592	0.890571616	0.879407711	0.325853417	0.123650547	0.088945709	0.119432918	0.90057168	0.340345561	0.499340168	0.721760178	DevOps
0.502584515	0.109908191	0.495535275	0.527721276	0.700777725	0.712133736	0.136632737	0.896696784	0.518873228	0.307639716	0.514524924	0.085974488	0.290996785	0.121022743	0.899539214	0.104698878	0.925212005	0.87973648	0.507644748	0.118110525	0.276902865	0.114781749	0.512375914	0.306042771	0.283151629	0.290760123	0.095857079	0.310962981	Waterfall
0.904083629	0.288621335	0.560705296	0.283624327	0.50055008	0.891328823	0.914237074	0.730925363	0.291670019	0.720640601	0.923600108	0.122588136	0.710657122	0.10475156	0.910164483		0.101662355	0.872940679	0.331959865	0.323794319	0.670792736	0.124360688		0.302410636	0.689442918	0.124851054	0.508984588	0.886930519	Agile
0.302492674	0.501529752	0.326270727	0.078361323	0.084216547	0.517527757	0.326904292	0.688762984	0.280087253	0.711105587	0.294381779	0.277661306	0.317125435	0.495589846	0.89926807	0.739515967	0.91721672	0.92073279	0.491479171	0.492379453		0.683380319	0.73187813	0.916283552	0.322985834	0.641734549	0.498606262	0.910367431	Spiral
0.87765428	0.924993199	0.3110522	0.252025731	0.525054685	0.317753306	0.908854334	0.897026406	0.131951133	0.68154545	0.307791839	0.906242945	0.698686667	0.907832751	0.495562017	0.497779725	0.125349311	0.662708467	0.910187009	0.287579063	0.49920477	0.126023581	0.294188803	0.894381747	0.286957068	0.306514535	0.081254913	0.472188692	DevOps
0.102822408	0.69223948	0.097827865	0.325868205	0.101404999	0.921048663	0.090657252	0.898415904	0.077711664	0.517666955		0.086700451	0.508844696	0.093951769	0.704083137	0.264906714	0.920720128	0.484758375	0.125498264	0.647411882	0.869995276	0.69556756	0.279033252	0.123887301	0.894833988	0.6631149	0.516669126	0.905152522	Spiral
0.692477386	0.908629042	0.299941227	0.70829856	0.889213743	0.68203517	0.28697893	0.898442114	0.508343655	0.114105162	0.668131449	0.10320033	0.311305864	0.928622357	0.695702963	0.11322645	0.67441306	0.875358656	0.472993751	0.905637905	0.89045004	0.878360854	0.095671552	0.736552367	0.481803224	0.284057113	0.295041726	0.891609555	Spiral
0.09667434	0.903127753	0.876960397	0.926763675	0.901119918	0.08479694	0.283308797	0.900176905	0.914094794	0.91360852	0.121242374	0.689042865	0.501165337	0.284528979	0.695352122	0.084815303	0.34191509	0.896710514	0.52471994	0.097021463	0.474722098	0.907396256	0.501006228	0.87193388	0.47434227	0.936908286	0.302271159	0.913563901	Spiral
0.687654258	0.30501731	0.326509598	0.873920264	0.916363417	0.323329968	0.088572031	0.675233706	0.271064823	0.921546826	0.862787165	0.867482154	0.267539394	0.64343094	0.293826051	0.747298123	0.499777693	0.687344145	0.867825117	0.084522848	0.094299453	0.884028088	0.503922395	0.299192734	0.107681374	0.690938645	0.509409749	0.29120697	V-Model
0.691840708	0.488807942	0.525117425	0.486623277	0.890284021	0.115233903	0.891747703	0.681687271	0.104762684	0.69661988	0.683523431	0.312831979	0.666014602	0.495679159	0.712135609	0.712978461	0.915221612	0.293990691	0.312381713	0.149190012	0.312056883	0.511277692	0.859429896	0.502148538	0.101419575	0.516163704	0.916074089	0.125208726	Hybrid
0.114085273	0.906497936	0.078165014	0.473830418	0.086171535	0.920415003	0.319893895	0.672894437	0.492888878	0.126335486	0.319738082	0.909363426	0.712699484	0.310936324	0.920314261	0.320887403	0.690145234	0.901820797	0.699150544	0.485985607	0.304986764	0.862051765	0.097745277		0.110070325	0.129108813	0.519521617	0.643448399	Spiral
0.895011435	0.676134376	0.314167039	0.307143219	0.717163451	0.480517705	0.277344363	0.075004986	0.102423763	0.275453233	0.082510734	0.693869885	0.744969231	0.703109178	0.928478709	0.679619381	0.490631875	0.51559113	0.096434237	0.102519319	0.531101761	0.87380939	0.880704006	0.327782164	0.107297204	0.336080046	0.504000435		V-Model
0.494924373	0.689096629	0.903317565	0.101683229	0.693068688	0.11544909	0.682853983	0.283123325	0.49010853	0.864452423	0.465044121	0.292837073	0.505352793	0.729566614	0.886121891	0.911431832	0.897844414	0.70392311	0.134269779	0.300380513	0.499155788	0.948687434	0.688312925	0.873590476	0.489900959	0.556399483	0.135110838	0.697216893	Spiral
0.112938876	0.134126013	0.500923872	0.918963596	0.732591991	0.910684755	0.078322698	0.088553297		0.902008452	0.274584827	0.92365025	0.474884486	0.504913361	0.707037665	0.091292383	0.067930969	0.504722717	0.08555075	0.286540129	0.064396872	0.702663083	0.467227993	0.055471747	0.878233128	0.106685744	0.310802918	0.475355475	V-Model
0.492600357	0.271540766	0.112950034	0.123624252	0.89085696	0.308371913	0.12219843	0.320996518	0.280985867	0.704043531	0.144829373	0.051955751	0.725296991	0.092587985	0.473069887	0.299125165	0.897264249	0.094836519	0.832193823	0.492413821	0.501881501	0.296049013	0.312301342	0.881037397	0.912468343	0.105514132	0.499810245	0.490823074	DevOps
0.265347683	0.298689396	0.504698699	0.882583173	0.887977558	0.108395737	0.490446858	0.126693322	0.107628032	0.914189671	0.275640625	0.694075751	0.899333213	0.523902876	0.718818099	0.894592214	0.690053128	0.91670118		0.092953335	0.707658985		0.312071651	0.716821049	0.307011915	0.321828357	0.298062415	0.907055186	Hybrid
0.883539777	0.528204772	0.279725512	0.530803259	0.48710293	0.714103221	0.517630519	0.893684927	0.504538468	0.305740962	0.90286279	0.882214001	0.100318958	0.499946356	0.713890046	0.887338619	0.085915557	0.127637351	0.102600282	0.282924998	0.500697279	0.326273091	0.540989637	0.486051924	0.30147973	0.702081232	0.103616524	0.306218171	Hybrid
0.697221183	0.263851122	0.108747163	0.074952634	0.111194477	0.881170537	0.513272685	0.0832048	0.312010503	0.29938058	0.90570209	0.459414295	0.120523219	0.067255713	0.484646554	0.910164059	0.287112361	0.90110544	0.658617505	0.904861573	0.90425332	0.113560895	0.713646744	0.3056222	0.470712257	0.256994925	0.716321572	0.057616435	Hybrid
0.342861571	0.695258944	0.486793672	0.070171169	0.677530904	0.091062636	0.885113646	0.491147796	0.905412184	0.311513026	0.491384719	0.904299082	0.282472269	0.085059437	0.091286919	0.501813886	0.324160006	0.512931481	0.512216676	0.530378082	0.304392436	0.924730077	0.682019205	0.709257663	0.09422362	0.702186452	0.69095408	0.102155534	V-Model
	0.320624297	0.713028644	0.898648773	0.869017864	0.278023778	0.682090756	0.900464398	0.317331664	0.087494745	0.904239941	0.334150773		0.107777468	0.481241609	0.126605925	0.947644963	0.898406325	0.13028702	0.701838936	0.658992602	0.734379697	0.686386915	0.101863761	0.310257824	0.065981815	0.658251284	0.905216932	Spiral
0.095775414	0.732603833	0.894995834	0.900918938	0.071300164	0.092536566	0.916577893	0.717791783	0.306218123	0.87687212	0.09395509	0.106728381	0.921389381	0.697707289	0.67930373	0.521046216	0.100385437	0.690991625	0.309613432	0.90326445	0.108852474	0.093896068	0.112808183	0.299573005	0.489714554	0.083341835	0.321988155	0.49406341	Agile
0.296300839	0.730793943	0.297963334	0.891647083	0.298226773	0.296093406	0.482522688	0.094386718	0.124336006	0.268624789	0.090711186	0.675757438	0.685974908	0.499459898	0.512900859	0.291269486	0.0941395	0.09682466	0.918909336	0.707653847	0.066870404	0.890687307	0.89661456	0.31922337	0.082604291	0.927865763	0.317435605	0.094097663	V-Model
0.479905283	0.904974261	0.298016386	0.296186154	0.261348616	0.301790367	0.883079634	0.326941964	0.701188589	0.314672143	0.719119783	0.881575658	0.904317202	0.102407844	0.500589353	0.08769239	0.678590958	0.868310314	0.532115059	0.690532422	0.487788845	0.68266226	0.896159323	0.543218629	0.909817266	0.482106567	0.293414224	0.097287966	DevOps
0.902134637	0.268264528	0.920939814	0.069572832	0.514193873	0.909814587	0.292230961	0.859381847	0.908145508	0.716630598	0.902485519	0.327531449	0.926753641	0.274125026	0.327341836	0.50855407	0.707809719	0.882136542	0.666830051	0.117606738	0.712281608	0.849221625	0.553812317	0.885296185	0.888970033	0.084428081	0.507633831	0.893909409	DevOps
0.679624552	0.325974978	0.078835788	0.490137822	0.894442448	0.12428203	0.105334287		0.897600832	0.518446961	0.273519135	0.328578578	0.094013603	0.115213626	0.687459845	0.119399976	0.116430188	0.505201653	0.717840279	0.911714719	0.265408639	0.079127655	0.719350147	0.933830793	0.10211037	0.514654677	0.698635625	0.287124723	Waterfall
0.264838112	0.290168825	0.135671396	0.279111984	0.31980722	0.463497762	0.092651812	0.114447832	0.316838314	0.271837983	0.103608671	0.68928903	0.08561913	0.12043352	0.466713397	0.289531356	0.48747923	0.697013913	0.506977375	0.302215792	0.875492349	0.0917519	0.496195983	0.507868824	0.071892291	0.889064646	0.686303336	0.288108889	Hybrid
0.908443926	0.492943118	0.465514741	0.303450507	0.47717708	0.700614818	0.088550209	0.049497834	0.478365033	0.284621948	0.718556211	0.084830009	0.727116307	0.30809483	0.708953148	0.692350332	0.297262529	0.701959341	0.893603826	0.884720244	0.517919348	0.873955246	0.678530124	0.300146274	0.918725867	0.097516645	0.485924453	0.313858387	DevOps
0.079286525	0.498989791	0.871504743	0.495833344	0.487196367	0.467185864	0.693976662	0.499826829	0.486263643	0.131448911	0.27001634	0.901910422	0.29316219	0.108853138	0.899334811	0.307576481	0.903301618	0.70501334	0.114366329	0.704871809	0.892164104	0.908832459	0.077917299	0.894394214	0.7105494	0.081538484	0.940308871	0.703643089	Spiral
0.350502781		0.115707719	0.711178602	0.076082081	0.328488211	0.084011577	0.686528039	0.916693158	0.673852099	0.500448165	0.898991809	0.949972039	0.306449718	0.131488115	0.313762566	0.487843459	0.104355488	0.692159723	0.296122548	0.094402695	0.660566713	0.104235285	0.87957627	0.094027057	0.10211464	0.733428324	0.116560933	Waterfall
0.060549896	0.699357877	0.700349285	0.894921596	0.143965903	0.688737121	0.885206751	0.098591525	0.920074649	0.693440167	0.286671998	0.498254785		0.51184136	0.932559635	0.063956894	0.299160165	0.678840627	0.506744484	0.123915319	0.075903041	0.301106089	0.726615972	0.3049507	0.298748647	0.690829033	0.091785764	0.48230447	Hybrid
0.670290416	0.063776575	0.888658114	0.928875017	0.506335617	0.292074256	0.286205784	0.509868227	0.879187477	0.864701886	0.479278491	0.914598026	0.705872958	0.136352147	0.284992645		0.28204908	0.11424908	0.902998557	0.723961007	0.492453725	0.903084023	0.301310266	0.320003429	0.908632563	0.6924052	0.504672061	0.107873368	Waterfall
0.723431871	0.727132525	0.105769004	0.902881502	0.484331143	0.484861539	0.907222534	0.67951457	0.694771039	0.91448826	0.329599842	0.681084705	0.29616606	0.924551803	0.124597844	0.130988551	0.04852433	0.691547023	0.686958809	0.927113443	0.488738544	0.857309657	0.698866889	0.105728381	0.700935204	0.893768411	0.705917702	0.68037622	V-Model
0.323703762	0.482854979	0.699058355	0.668555828	0.504637535	0.314396198	0.904334991	0.327386236	0.321091789	0.291068669	0.710458369	0.276892411	0.096320949	0.090073789	0.920263645	0.732142584	0.889116635	0.669228584	0.504523809	0.892132571	0.70366198	0.663737354	0.737286114	0.861409464	0.102602031	0.91380711	0.902798522		Agile
0.084626614	0.513972468	0.312469738	0.48608927	0.936003473	0.873187057	0.315322672	0.480070563	0.515664895	0.096856181	0.341531747	0.122216043	0.86233077	0.901100539	0.535479277	0.469119009	0.724921583	0.094653568	0.875750511	0.919627553	0.688554977	0.922857089	0.312583604	0.896542395	0.708916123	0.100135641	0.124013814	0.915096725	DevOps
0.312973713	0.728621449	0.886712179	0.297566133	0.729698095	0.918003787	0.516998163	0.911817419	0.882569898		0.277117593	0.893959844	0.549566402	0.866694907	0.280591053	0.457054202	0.096190829	0.112929935	0.310660341	0.897410087	0.521257124	0.741786758	0.274064798	0.295776202	0.3518807	0.099305381	0.904015494	0.691313762	Hybrid
0.283515197	0.728724756	0.884646658	0.300122437	0.488877332	0.289406721	0.131400872	0.682020547	0.719151988	0.109395808	0.688996454	0.322605972	0.30824181	0.508153263		0.078537176	0.890584535	0.88096433	0.088000234	0.121277458	0.074215468	0.267781059	0.078211909	0.486122963	0.05147499	0.102804023	0.117772395	0.901908734	Spiral
0.463541896	0.113894256	0.87258077	0.13219102	0.26326395	0.878261927	0.096213546	0.905882779	0.868506964	0.095389825	0.267051656	0.901274842	0.126504165	0.494990032	0.502639948	0.099680239	0.528713672	0.674108887	0.493088376	0.277726806	0.296119629	0.679595533	0.096533094	0.297079137	0.500178007	0.070248537	0.496524362	0.498967554	Waterfall
0.312896885	0.494344167	0.103674301	0.292833507	0.30852936	0.107336407	0.316777383	0.873254411	0.868095919	0.522891242	0.128309455	0.65650757	0.310209138	0.541042809	0.935042495	0.292909524	0.86330416	0.08416916	0.902154579	0.516037132	0.344521785	0.104228388	0.095367399	0.485207181	0.701688481	0.719787041	0.067080235	0.087581911	Waterfall
0.495383726	0.69321976	0.313916728	0.099879831	0.110374024	0.288222191	0.068917585	0.674224053	0.286461049	0.280415195	0.304183622	0.877188251	0.892675367	0.110184346	0.289388862	0.314531164	0.71301874	0.734083307	0.497604907	0.678008159	0.908191207	0.718746443	0.95323174	0.065770174	0.906586822	0.892218327	0.121554308	0.10708042	V-Model
0.683754841	0.914832046	0.311329091	0.092491417	0.093422716	0.865742726	0.159918456	0.087085184	0.682900876	0.885410626	0.281519037	0.315676827	0.327304708	0.308993466	0.715537298	0.298556053	0.514818499	0.879686419	0.677670104	0.677619689	0.679318437	0.70073139	0.487058883	0.912983916	0.534722955	0.886438511	0.47616459	0.907024309	Hybrid
0.644797489	0.715542561	0.303620302	0.735548096	0.896390692	0.495997578	0.037310732	0.882051588	0.12726716	0.303479516	0.297032922	0.334677368	0.33485063	0.926687805	0.510495896	0.545201923	0.475161124	0.343600718	0.491476693		0.901055921	0.479045505	0.145157144	0.308021358	0.490055096	0.073493371	0.894889854	0.913991102	Hybrid
0.895893066	0.106990713	0.306294067	0.893232144	0.11821038	0.499865618	0.131863493	0.895862839	0.679212822	0.703143258	0.090655375	0.672438617	0.322992597	0.099194555	0.879895795	0.929761699	0.092871321	0.905556589	0.659391599	0.278349293	0.513010065	0.258453902	0.309431771	0.671974666	0.69726863	0.686873623	0.511812301	0.723818655	Waterfall
0.869162536	0.894157606	0.110879304	0.686400159	0.101469151	0.486948695	0.911134622	0.500853442	0.921968067	0.521380831	0.923938538	0.693908082	0.68246681	0.681052828	0.465150395	0.904430608	0.090422582	0.095453454	0.120078637	0.111716665	0.306058874	0.07892033	0.084831462	0.91144334	0.304872538	0.698211634	0.894269182	0.283704463	Agile
0.724600401	0.505458063	0.688106901	0.478476967	0.901398417	0.70075356	0.120980848	0.898740203	0.706558806	0.455389322	0.720713559	0.656122932	0.120511712	0.089675398	0.083978024	0.711706174	0.929568861	0.106925777	0.71504577	0.917302294	0.513822885	0.312227835	0.905897381	0.486870318	0.323563147	0.117042905	0.883534526	0.297965619	Waterfall
0.255659655	0.090169631	0.309370307	0.509610751	0.691985779	0.92083914	0.911555612	0.47260226	0.106429899	0.088394735	0.920378235	0.732699438	0.889089964	0.304257054	0.284659305	0.724164894	0.468798775	0.916097439	0.902622395	0.732922124	0.721132243	0.512400036	0.511385296	0.50519927	0.88987635	0.2853662	0.302858358	0.091237639	DevOps
0.076563954	0.903513203	0.921280887	0.508149933	0.710539321	0.496510701	0.876526518	0.073276782	0.883694872	0.144131549	0.664939897	0.891791245	0.108437373	0.684319202	0.500534226	0.296517205	0.090890303	0.920251991	0.267540767	0.678965142	0.90630112	0.721070324	0.122707933	0.511612718	0.486131712	0.089784135	0.674326925	0.931902704	Spiral
0.288228789	0.492603587	0.686257823	0.700095327	0.265628625	0.480916539	0.912716005	0.913912582	0.485814737	0.908320967	0.298073054	0.276630539	0.323044349	0.713731251	0.460888262		0.896703613	0.095871015	0.70313296	0.110345035	0.103277669	0.077843512	0.09802919	0.1230429	0.494847103	0.116761462	0.538379981	0.514541519	Agile
0.697384272	0.910058333	0.700996813	0.516164998	0.471127731	0.306349786	0.89333582	0.494853537	0.87362762	0.68001813	0.28161505	0.898342292	0.714758012	0.714082435	0.087308614	0.074140448	0.124306178	0.477022766	0.298549036	0.085073944	0.296429599	0.903101858	0.717346975	0.303460599	0.502855481	0.142733308	0.68021602	0.321344021	V-Model
0.49456934	0.499245324	0.286523928	0.697127792	0.7216523	0.311616437	0.087422007	0.295417784	0.894366652	0.474382364	0.060046024	0.688888396	0.885955398	0.494261206	0.909682251	0.671604267	0.500600006	0.923699392	0.288189588	0.494268078	0.501145246	0.657361521	0.872812879	0.49486932	0.71408125	0.124688017	0.712337683	0.70488994	V-Model
